cell_id,cell_type
33_18,Cancer Epithelial
33_22,Cancer Epithelial
33_44,Cancer Epithelial
33_46,Cancer Epithelial
33_47,Cancer Epithelial
33_50,Cancer Epithelial
33_60,Cancer Epithelial
33_69,Cancer Epithelial
33_77,Cancer Epithelial
33_82,Cancer Epithelial
33_87,Cancer Epithelial
33_88,Cancer Epithelial
33_90,Cancer Epithelial
33_95,Cancer Epithelial
33_96,Cancer Epithelial
33_98,Cancer Epithelial
33_99,Cancer Epithelial
33_102,Cancer Epithelial
33_103,Cancer Epithelial
33_104,Cancer Epithelial
33_105,Cancer Epithelial
33_106,Cancer Epithelial
33_107,Cancer Epithelial
33_109,Cancer Epithelial
33_113,Cancer Epithelial
33_114,Cancer Epithelial
33_116,Cancer Epithelial
33_117,Cancer Epithelial
33_119,Cancer Epithelial
33_121,Cancer Epithelial
33_122,Cancer Epithelial
33_124,Cancer Epithelial
33_125,Cancer Epithelial
33_126,Cancer Epithelial
33_128,Cancer Epithelial
33_133,Cancer Epithelial
33_134,Cancer Epithelial
33_138,Cancer Epithelial
33_139,Cancer Epithelial
33_140,Cancer Epithelial
33_147,Cancer Epithelial
33_149,Cancer Epithelial
33_153,Cancer Epithelial
33_154,Cancer Epithelial
33_155,CAFs
33_158,Cancer Epithelial
33_160,Cancer Epithelial
33_163,Cancer Epithelial
33_169,CAFs
33_170,Cancer Epithelial
33_175,Cancer Epithelial
33_176,Cancer Epithelial
33_177,Cancer Epithelial
33_181,Myeloid
33_183,Cancer Epithelial
33_185,Cancer Epithelial
33_186,Cancer Epithelial
33_187,Cancer Epithelial
33_189,Cancer Epithelial
33_190,Plasmablasts
33_195,Cancer Epithelial
33_200,Cancer Epithelial
33_206,Cancer Epithelial
33_211,CAFs
33_215,Plasmablasts
33_218,Cancer Epithelial
34_8,Cancer Epithelial
34_13,Cancer Epithelial
34_14,Cancer Epithelial
34_16,Cancer Epithelial
34_25,Cancer Epithelial
34_31,Cancer Epithelial
34_32,Plasmablasts
34_39,Cancer Epithelial
34_41,Cancer Epithelial
34_54,Cancer Epithelial
34_56,Cancer Epithelial
34_59,Cancer Epithelial
34_60,Cancer Epithelial
34_70,Cancer Epithelial
34_89,Cancer Epithelial
34_98,Cancer Epithelial
34_104,Cancer Epithelial
34_105,Cancer Epithelial
34_111,Cancer Epithelial
34_115,Cancer Epithelial
34_117,Cancer Epithelial
34_120,Cancer Epithelial
34_122,Cancer Epithelial
34_123,Cancer Epithelial
34_124,Cancer Epithelial
34_131,Cancer Epithelial
34_132,Cancer Epithelial
34_137,Cancer Epithelial
34_139,Cancer Epithelial
34_140,Cancer Epithelial
34_143,Cancer Epithelial
34_149,Cancer Epithelial
34_156,Cancer Epithelial
34_158,Cancer Epithelial
34_160,Cancer Epithelial
34_163,Cancer Epithelial
34_164,Cancer Epithelial
34_165,Cancer Epithelial
34_170,Cancer Epithelial
34_172,Cancer Epithelial
34_173,Cancer Epithelial
34_176,Cancer Epithelial
34_177,Cancer Epithelial
34_179,Cancer Epithelial
34_180,Cancer Epithelial
34_181,Cancer Epithelial
34_182,Cancer Epithelial
34_183,Cancer Epithelial
34_184,Cancer Epithelial
34_186,Cancer Epithelial
34_189,Cancer Epithelial
34_190,Cancer Epithelial
34_191,Cancer Epithelial
34_193,Cancer Epithelial
34_195,Cancer Epithelial
34_198,Cancer Epithelial
34_203,Cancer Epithelial
34_205,Cancer Epithelial
34_206,Cancer Epithelial
34_207,Cancer Epithelial
34_213,Cancer Epithelial
34_214,Cancer Epithelial
34_218,Cancer Epithelial
34_221,Cancer Epithelial
34_223,Cancer Epithelial
34_225,Cancer Epithelial
34_226,Cancer Epithelial
34_228,Cancer Epithelial
34_230,Cancer Epithelial
34_233,Cancer Epithelial
34_235,Cancer Epithelial
34_241,Cancer Epithelial
34_244,Cancer Epithelial
34_245,Cancer Epithelial
34_248,Cancer Epithelial
34_249,Cancer Epithelial
34_250,Cancer Epithelial
34_251,Cancer Epithelial
34_252,Cancer Epithelial
34_254,Cancer Epithelial
34_255,Cancer Epithelial
34_260,Cancer Epithelial
34_261,Cancer Epithelial
34_267,CAFs
34_268,Cancer Epithelial
34_269,Cancer Epithelial
34_275,Cancer Epithelial
34_276,Cancer Epithelial
34_278,Cancer Epithelial
34_280,Cancer Epithelial
34_287,Cancer Epithelial
34_289,Cancer Epithelial
34_290,Cancer Epithelial
34_294,Cancer Epithelial
34_296,Cancer Epithelial
34_297,Cancer Epithelial
34_299,Cancer Epithelial
34_300,Cancer Epithelial
34_308,Cancer Epithelial
34_310,Cancer Epithelial
34_312,Cancer Epithelial
34_315,Cancer Epithelial
34_316,Cancer Epithelial
34_318,Cancer Epithelial
34_322,Cancer Epithelial
34_326,Cancer Epithelial
34_328,Cancer Epithelial
34_334,Cancer Epithelial
34_336,Cancer Epithelial
34_342,Cancer Epithelial
34_345,Cancer Epithelial
34_350,Cancer Epithelial
34_352,Cancer Epithelial
34_353,Cancer Epithelial
34_357,Cancer Epithelial
34_360,Cancer Epithelial
34_363,Cancer Epithelial
34_367,Cancer Epithelial
34_368,Cancer Epithelial
34_369,Cancer Epithelial
34_371,Normal Epithelial
34_373,Cancer Epithelial
34_377,Cancer Epithelial
34_379,Cancer Epithelial
34_385,Cancer Epithelial
35_3,Cancer Epithelial
35_4,Cancer Epithelial
35_8,Cancer Epithelial
35_9,Cancer Epithelial
35_14,Cancer Epithelial
35_15,Cancer Epithelial
35_17,Cancer Epithelial
35_19,Cancer Epithelial
35_21,Cancer Epithelial
35_24,Cancer Epithelial
35_25,Cancer Epithelial
35_28,Cancer Epithelial
35_30,Cancer Epithelial
35_31,Cancer Epithelial
35_32,Cancer Epithelial
35_35,Cancer Epithelial
35_36,Plasmablasts
35_37,Cancer Epithelial
35_38,Cancer Epithelial
35_39,Cancer Epithelial
35_40,Cancer Epithelial
35_41,Cancer Epithelial
35_44,Cancer Epithelial
35_45,Cancer Epithelial
35_46,Cancer Epithelial
35_47,Cancer Epithelial
35_48,Cancer Epithelial
35_49,Cancer Epithelial
35_51,Cancer Epithelial
35_52,Cancer Epithelial
35_53,Cancer Epithelial
35_54,Cancer Epithelial
35_55,CAFs
35_57,Cancer Epithelial
35_58,Cancer Epithelial
35_59,Cancer Epithelial
35_60,Cancer Epithelial
35_61,Cancer Epithelial
35_65,Cancer Epithelial
35_66,Cancer Epithelial
35_67,Cancer Epithelial
35_68,Cancer Epithelial
35_70,Cancer Epithelial
35_71,Cancer Epithelial
35_72,Cancer Epithelial
35_73,Cancer Epithelial
35_74,Cancer Epithelial
35_77,Cancer Epithelial
35_78,Cancer Epithelial
35_79,Cancer Epithelial
35_81,Cancer Epithelial
35_82,Cancer Epithelial
35_83,Cancer Epithelial
35_84,Cancer Epithelial
35_86,Cancer Epithelial
35_87,Cancer Epithelial
35_88,Cancer Epithelial
35_89,Cancer Epithelial
35_90,Cancer Epithelial
35_91,Cancer Epithelial
35_93,Cancer Epithelial
35_94,Cancer Epithelial
35_95,Cancer Epithelial
35_96,Cancer Epithelial
35_97,Cancer Epithelial
35_98,Cancer Epithelial
35_99,Cancer Epithelial
35_100,Cancer Epithelial
35_101,Cancer Epithelial
35_103,Cancer Epithelial
35_104,Cancer Epithelial
35_105,Cancer Epithelial
35_106,Cancer Epithelial
35_107,Cancer Epithelial
35_108,Cancer Epithelial
35_110,Cancer Epithelial
35_111,Cancer Epithelial
35_112,Cancer Epithelial
35_113,Cancer Epithelial
35_114,Cancer Epithelial
35_115,Cancer Epithelial
35_116,Cancer Epithelial
35_118,Cancer Epithelial
35_119,Cancer Epithelial
35_121,Cancer Epithelial
35_123,Cancer Epithelial
35_124,Cancer Epithelial
35_125,Cancer Epithelial
35_126,Cancer Epithelial
35_127,Cancer Epithelial
35_130,Cancer Epithelial
35_131,Cancer Epithelial
35_132,Cancer Epithelial
35_133,Cancer Epithelial
35_136,Cancer Epithelial
35_139,Cancer Epithelial
35_140,Cancer Epithelial
35_142,Cancer Epithelial
35_146,Cancer Epithelial
35_147,Cancer Epithelial
35_148,Cancer Epithelial
35_149,Cancer Epithelial
35_154,Cancer Epithelial
35_155,Cancer Epithelial
35_156,Cancer Epithelial
35_157,Cancer Epithelial
35_160,Cancer Epithelial
35_161,Cancer Epithelial
35_162,Cancer Epithelial
35_166,Cancer Epithelial
35_167,Cancer Epithelial
35_169,Cancer Epithelial
35_170,Cancer Epithelial
35_171,Cancer Epithelial
35_172,Cancer Epithelial
35_174,Cancer Epithelial
35_178,Cancer Epithelial
35_179,Cancer Epithelial
35_181,Cancer Epithelial
35_182,Cancer Epithelial
35_187,Cancer Epithelial
35_188,Cancer Epithelial
35_189,Cancer Epithelial
35_191,Cancer Epithelial
35_192,Cancer Epithelial
35_193,Cancer Epithelial
35_195,Cancer Epithelial
35_196,Cancer Epithelial
35_200,Cancer Epithelial
35_204,Cancer Epithelial
35_205,Cancer Epithelial
35_206,Cancer Epithelial
35_210,Cancer Epithelial
35_213,Cancer Epithelial
35_214,Cancer Epithelial
35_215,Cancer Epithelial
35_216,Cancer Epithelial
35_218,Cancer Epithelial
35_219,Cancer Epithelial
35_220,Cancer Epithelial
35_221,Cancer Epithelial
35_222,Cancer Epithelial
35_224,Cancer Epithelial
35_227,Cancer Epithelial
35_228,CAFs
35_229,Cancer Epithelial
35_231,Cancer Epithelial
35_232,Cancer Epithelial
35_233,Cancer Epithelial
35_236,Cancer Epithelial
35_242,Cancer Epithelial
35_246,Cancer Epithelial
35_249,Cancer Epithelial
35_251,Cancer Epithelial
35_253,Cancer Epithelial
35_254,Cancer Epithelial
35_255,Cancer Epithelial
35_258,Cancer Epithelial
35_259,Cancer Epithelial
35_261,Cancer Epithelial
35_262,Cancer Epithelial
35_263,Cancer Epithelial
35_264,Cancer Epithelial
35_267,Cancer Epithelial
35_268,Cancer Epithelial
35_269,Cancer Epithelial
35_270,Cancer Epithelial
35_271,Cancer Epithelial
35_272,Cancer Epithelial
35_274,Cancer Epithelial
35_275,Cancer Epithelial
35_278,Cancer Epithelial
35_280,Cancer Epithelial
35_282,Cancer Epithelial
35_285,Cancer Epithelial
35_286,Cancer Epithelial
35_287,Cancer Epithelial
35_288,Cancer Epithelial
35_289,Cancer Epithelial
35_292,Cancer Epithelial
35_293,Cancer Epithelial
35_294,Cancer Epithelial
35_296,Cancer Epithelial
35_297,Cancer Epithelial
35_299,Cancer Epithelial
35_300,Cancer Epithelial
35_301,Cancer Epithelial
35_303,Cancer Epithelial
35_304,Cancer Epithelial
35_305,Cancer Epithelial
35_306,Cancer Epithelial
35_307,Cancer Epithelial
35_308,Cancer Epithelial
35_309,Cancer Epithelial
35_310,Cancer Epithelial
35_311,Cancer Epithelial
35_312,Cancer Epithelial
35_313,Cancer Epithelial
35_314,Cancer Epithelial
35_315,Cancer Epithelial
35_317,Cancer Epithelial
35_318,Cancer Epithelial
35_320,Cancer Epithelial
35_321,Cancer Epithelial
35_323,Cancer Epithelial
35_324,Cancer Epithelial
35_327,Cancer Epithelial
35_329,Cancer Epithelial
35_330,Cancer Epithelial
35_331,Cancer Epithelial
35_332,Cancer Epithelial
35_334,Cancer Epithelial
35_335,Cancer Epithelial
35_336,Cancer Epithelial
35_337,Cancer Epithelial
35_338,Cancer Epithelial
35_339,Cancer Epithelial
35_340,Cancer Epithelial
35_341,Cancer Epithelial
35_343,Cancer Epithelial
35_344,Cancer Epithelial
35_345,Cancer Epithelial
35_346,Cancer Epithelial
35_347,Cancer Epithelial
35_348,Cancer Epithelial
35_352,Cancer Epithelial
36_3,Cancer Epithelial
36_5,Cancer Epithelial
36_7,Cancer Epithelial
36_8,Cancer Epithelial
36_9,Cancer Epithelial
36_10,Cancer Epithelial
36_17,Cancer Epithelial
36_23,Cancer Epithelial
36_32,Cancer Epithelial
36_34,Plasmablasts
36_35,Cancer Epithelial
36_36,Cancer Epithelial
36_37,Cancer Epithelial
36_44,Cancer Epithelial
36_45,Cancer Epithelial
36_47,Cancer Epithelial
36_60,Cancer Epithelial
36_69,Cancer Epithelial
36_71,Cancer Epithelial
36_85,Cancer Epithelial
36_100,Cancer Epithelial
36_104,Cancer Epithelial
36_106,Cancer Epithelial
36_115,Cancer Epithelial
36_118,Plasmablasts
36_124,Cancer Epithelial
36_142,Cancer Epithelial
36_143,Cancer Epithelial
36_146,Cancer Epithelial
36_148,Cancer Epithelial
36_151,Cancer Epithelial
36_153,Cancer Epithelial
36_154,Cancer Epithelial
36_156,Cancer Epithelial
36_158,Cancer Epithelial
36_160,Cancer Epithelial
36_163,Cancer Epithelial
36_167,Cancer Epithelial
36_169,Cancer Epithelial
36_171,T-cells
36_172,Cancer Epithelial
36_175,Cancer Epithelial
36_176,Cancer Epithelial
36_177,Cancer Epithelial
36_178,Cancer Epithelial
36_180,Cancer Epithelial
36_181,Cancer Epithelial
36_182,Cancer Epithelial
36_183,Cancer Epithelial
36_185,Cancer Epithelial
36_186,Cancer Epithelial
36_190,Cancer Epithelial
36_195,Cancer Epithelial
36_200,Cancer Epithelial
36_201,Cancer Epithelial
36_202,Cancer Epithelial
36_203,Cancer Epithelial
36_204,Cancer Epithelial
36_206,Cancer Epithelial
36_213,Cancer Epithelial
36_217,Cancer Epithelial
36_218,Cancer Epithelial
36_220,Cancer Epithelial
36_221,CAFs
36_226,Cancer Epithelial
36_227,Cancer Epithelial
36_228,CAFs
36_229,Cancer Epithelial
36_230,Cancer Epithelial
36_231,Cancer Epithelial
36_232,Cancer Epithelial
36_233,Cancer Epithelial
36_234,Cancer Epithelial
36_239,Cancer Epithelial
36_240,Cancer Epithelial
36_242,Cancer Epithelial
36_244,Cancer Epithelial
36_247,Cancer Epithelial
36_250,Cancer Epithelial
36_254,Cancer Epithelial
36_255,Cancer Epithelial
36_257,Cancer Epithelial
36_260,Cancer Epithelial
36_261,PVL
36_264,Cancer Epithelial
36_266,Cancer Epithelial
36_267,Cancer Epithelial
36_269,Cancer Epithelial
36_270,Cancer Epithelial
36_271,PVL
36_272,Cancer Epithelial
36_273,Cancer Epithelial
36_274,Cancer Epithelial
36_275,Cancer Epithelial
36_277,Cancer Epithelial
36_278,Cancer Epithelial
36_280,Cancer Epithelial
36_281,Cancer Epithelial
36_282,Cancer Epithelial
36_283,Cancer Epithelial
36_284,Cancer Epithelial
36_285,Cancer Epithelial
36_286,Cancer Epithelial
36_287,Cancer Epithelial
36_291,Cancer Epithelial
36_292,Cancer Epithelial
36_293,T-cells
36_294,Cancer Epithelial
36_296,Cancer Epithelial
36_297,Cancer Epithelial
36_298,Cancer Epithelial
36_299,Cancer Epithelial
36_300,Plasmablasts
36_301,Cancer Epithelial
36_302,Cancer Epithelial
36_304,Cancer Epithelial
36_305,CAFs
36_307,Cancer Epithelial
36_308,Cancer Epithelial
36_309,Cancer Epithelial
36_311,CAFs
36_312,Cancer Epithelial
36_313,Cancer Epithelial
36_314,Cancer Epithelial
36_315,Cancer Epithelial
36_318,Cancer Epithelial
36_320,Cancer Epithelial
36_321,Cancer Epithelial
36_322,Cancer Epithelial
36_324,Cancer Epithelial
36_328,Cancer Epithelial
36_329,Cancer Epithelial
36_330,Cancer Epithelial
36_332,Cancer Epithelial
36_333,Cancer Epithelial
36_335,Normal Epithelial
36_337,Cancer Epithelial
36_338,Cancer Epithelial
36_339,Cancer Epithelial
36_340,Cancer Epithelial
36_341,Plasmablasts
36_342,Cancer Epithelial
36_345,Cancer Epithelial
36_346,Cancer Epithelial
36_347,CAFs
36_349,Cancer Epithelial
36_350,Cancer Epithelial
36_351,CAFs
36_352,Cancer Epithelial
36_354,CAFs
36_355,Cancer Epithelial
36_356,Cancer Epithelial
36_357,Cancer Epithelial
36_358,Cancer Epithelial
36_359,Cancer Epithelial
36_361,Cancer Epithelial
36_362,Cancer Epithelial
36_363,Cancer Epithelial
36_364,Cancer Epithelial
36_365,Cancer Epithelial
36_367,Cancer Epithelial
36_368,Cancer Epithelial
36_369,Plasmablasts
36_370,Cancer Epithelial
36_371,Cancer Epithelial
36_372,Cancer Epithelial
36_373,Cancer Epithelial
36_375,Cancer Epithelial
36_376,Cancer Epithelial
36_377,Cancer Epithelial
36_378,Cancer Epithelial
36_379,Cancer Epithelial
36_380,Cancer Epithelial
36_381,Cancer Epithelial
36_382,Cancer Epithelial
36_384,Cancer Epithelial
36_385,Cancer Epithelial
36_386,Cancer Epithelial
36_388,Cancer Epithelial
36_390,CAFs
36_391,Cancer Epithelial
36_394,Cancer Epithelial
36_395,Cancer Epithelial
36_396,Cancer Epithelial
36_399,Cancer Epithelial
36_400,Cancer Epithelial
37_2,Cancer Epithelial
37_3,Cancer Epithelial
37_4,Cancer Epithelial
37_5,Cancer Epithelial
37_6,Cancer Epithelial
37_7,Cancer Epithelial
37_8,Cancer Epithelial
37_9,Cancer Epithelial
37_10,Cancer Epithelial
37_12,Cancer Epithelial
